Kab/Kota;Beta 1;Beta 2;Beta 3;Beta 4
Kab Jember;-10.85488611;-10.23060869;-11.64689149;-4.97671138
Kab Bondowoso;24.89750223;23.5155408;26.69812156;11.79825078
Kab Banyuwangi;5.043127015;4.9729369;5.34072776;4.000201821
Kota Pasuruan;0.366224584;-0.630285208;0.70513454;-7.321882255
Kota Probolinggo;-10.16842182;-7.227199795;-5.268146376;-6.456671466
Kab Lumajang;23.36316774;16.81364246;12.45824352;15.1009248
Kab Sampang;4.901166586;4.400715756;4.098335993;4.283252343
Kota Mojokerto;-0.442132788;-4.383886893;-7.146706097;-5.477061288
Kota Surabaya;-10.02677937;-12.65854089;-6.64598001;-7.265365648
Kab Blitar;23.04514673;28.93675242;15.53561713;16.9031159
Kota Malang;4.865567973;5.450706563;4.373324221;4.426962593
Kab Nganjuk;-0.580942144;2.336697037;-5.480080945;-4.420380682
Kab Tuban;-7.879449299;-10.4464337;-5.288230202;-4.346202731
Kab Bojonegoro;18.25168936;23.99301039;12.50715906;10.38467359
Kab Tulungagung;4.448349973;4.995874351;4.120216872;3.850830493
Kota Blitar;-3.22869249;-0.279876939;-7.201712458;-7.980123628
Kota Kediri;-9.776351072;-10.51046613;-7.853729943;-5.929037114
Kota Madiun;22.48131244;24.13882786;18.22494104;13.91974289
Kab Pacitan;4.79574497;5.020992313;4.578389434;4.165980497
Kab Ponorogo;-0.795819518;-0.25716819;-3.859557291;-6.062191993
